assessment_id,study_id,effect_ids,evidence_stream,title,url,target_results,instrument,instrument_version,profile,domain_1,domain_2,domain_3,domain_4,domain_5,domain_6,domain_7,domain_8,domain_9,domain_10,overall_risk_of_bias,study_specific_note,decision_rationale,appraisal_basis,assessor,assessment_date
RB-ST-76,ST-76,,adjacent outcome,A comparative security evaluation of manual and AI-assisted web development,http://urn.kb.se/resolve?urn=urn:nbn:se:lnu:diva-147734,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-77,ST-77,,adjacent outcome,Exploring and modelling human–AI collaboration effectiveness in software engineering,https://lutpub.lut.fi/handle/10024/172536,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,,"A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-78,ST-78,,adjacent outcome,Exploring the Challenges and Opportunities of AI-assisted Codebase Generation,https://arxiv.org/abs/2508.07966,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-79,ST-79,,adjacent outcome,Fork-Triggerable AI Coding Agents in CI,https://github.com/cpeoples/grackle,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-80,ST-80,,adjacent outcome,From Developer Pairs to AI Copilots,https://arxiv.org/abs/2506.04785,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-81,ST-81,,adjacent outcome,From Meeting to Pull Request,http://urn.kb.se/resolve?urn=urn:nbn:se:miun:diva-57923,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-82,ST-82,,adjacent outcome,From Preventive to Reactive: How AI Coding Assistants Transform Developers’ Security Awareness,https://doi.org/10.13016/m2gqyg-hl1c,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,,"A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-83,ST-83,,adjacent outcome,From Specifications to Implementation in the Gen-AI Era,https://doi.org/10.1145/3797092,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,,"A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-84,ST-84,,adjacent outcome,GitHub Copilot Developer Experience: Novice and Experienced Developers,https://trepo.tuni.fi/handle/10024/231602,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,,"A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-85,ST-85,,adjacent outcome,How Do Developers Interact with AI?,https://doi.org/10.1145/3808120,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-86,ST-86,E-45,productivity/delivery,How far are AI-powered programming assistants from meeting developers’ needs?,https://arxiv.org/abs/2404.12000,Three in-IDE assistants — task time; reported effect: 11–14% less average time,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_high,Cause and effect clear: Yes,Participants compared similarly: No,Control group present: Unclear,Repeated pre/post measures: No,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Unclear,Analysis appropriate: Unclear,,,High,The small student sample and censoring materially affect the reported time comparison.,"The comparison is weakly controlled or materially confounded, and incomplete reporting prevents the observed difference from being attributed securely to AI assistance.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-87,ST-87,,adjacent outcome,How Safe Are AI-Generated Patches?,https://arxiv.org/abs/2507.02976,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-88,ST-88,,adjacent outcome,Human-Written vs. AI-Generated Code,https://arxiv.org/abs/2508.21634,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-89,ST-89,,adjacent outcome,LLM impact on blind and low-vision programming,https://arxiv.org/abs/2504.17018,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,,"A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-90,ST-90,,adjacent outcome,Multi-Simulation as Labor Compression,https://doi.org/10.5281/zenodo.21437017,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-91,ST-91,,adjacent outcome,On the Use of Agentic Coding,https://doi.org/10.1145/3798166,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-92,ST-92,,adjacent outcome,Security Weaknesses in LLM-Generated Source Code,https://doi.org/10.5281/zenodo.20550244,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-93,ST-93,E-46,productivity/delivery,"Seniority, Spillovers, and AI-Enhanced Code Contributions",https://aisel.aisnet.org/icis2025/impl_adopt/impl_adopt/2/,Enterprise phased rollout — commits; reported effect: Positive association; larger for seniors,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,"Phased rollout provides temporal variation, but seniority, adoption and team spillovers remain non-random.","AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-94,ST-94,,adjacent outcome,Tab to Autocomplete: AI Coding Assistants and Web Accessibility,https://doi.org/10.1145/3663548.3688513,Primary adjacent outcome family cited in the review,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_some,Cause and effect clear: Yes,Participants compared similarly: Unclear,Control group present: Yes,Repeated pre/post measures: Unclear,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Yes,Analysis appropriate: Yes,,,Some concerns,,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-95,ST-95,,adjacent outcome,The Impact of Generative AI Coding Assistants on Developers Who Are Visually Impaired,https://doi.org/10.1145/3706598.3714008,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,,"A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-96,ST-96,,adjacent outcome,Understanding and Predicting Accepted Code Suggestions in AI-Assisted Programming,https://doi.org/10.1145/3808125,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-97,ST-97,,adjacent outcome,AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests,https://doi.org/10.5281/zenodo.20118379,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-98,ST-98,,adjacent outcome,Evaluating AI-Generated T-SQL Code Review Reports in an Enterprise-Scale Codebase,https://www.doria.fi/handle/10024/194633,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-99,ST-99,,adjacent outcome,What Do AI Agents Actually Change?,https://doi.org/10.1007/978-3-032-30699-9_12,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
